2025-02-08 12:38:48 | User 1068652933 | Разблокировал переговорную: Красный Проспект (Офис: Кандинский, Город: Екатеринбург, Этаж: 3 этаж)
2025-02-08 12:38:50 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:38:51 | User 1068652933 | Выбрал город: Екатеринбург
2025-02-08 12:38:52 | User 1068652933 | Выбрал офис: Добровин (Город: Екатеринбург)
2025-02-08 12:38:58 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:38:59 | User 1068652933 | Выбрал город: Екатеринбург
2025-02-08 12:39:55 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:39:57 | User 1068652933 | Выбрал город: Екатеринбург
2025-02-08 12:39:58 | User 1068652933 | Выбрал офис: Дубровин (Город: Екатеринбург)
2025-02-08 12:40:01 | User 1068652933 | Разблокировал переговорную: 1108 (Офис: Дубровин, Город: Екатеринбург, Этаж: )
2025-02-08 12:40:03 | User 1068652933 | Разблокировал переговорную: 1108 (Офис: Дубровин, Город: Екатеринбург, Этаж: )
2025-02-08 12:40:05 | User 1068652933 | Разблокировал переговорную: 1125 (Офис: Дубровин, Город: Екатеринбург, Этаж: )
2025-02-08 12:40:07 | User 1068652933 | Разблокировал переговорную: 1106 (Офис: Дубровин, Город: Екатеринбург, Этаж: )
2025-02-08 12:40:08 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:40:09 | User 1068652933 | Выбрал город: Екатеринбург
2025-02-08 12:40:12 | User 1068652933 | Выбрал офис: Кандинский (Город: Екатеринбург)
2025-02-08 12:40:13 | User 1068652933 | Выбрал этаж: 2 этаж (Офис: Кандинский, Город: Екатеринбург)
2025-02-08 12:40:14 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:40:15 | User 1068652933 | Выбрал город: Екатеринбург
2025-02-08 12:40:17 | User 1068652933 | Выбрал офис: Кандинский (Город: Екатеринбург)
2025-02-08 12:40:17 | User 1068652933 | Выбрал этаж: 3 этаж (Офис: Кандинский, Город: Екатеринбург)
2025-02-08 12:40:20 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:43:31 | User 1068652933 | Выбрал город: Екатеринбург
2025-02-08 12:43:32 | User 1068652933 | Выбрал офис: Дубровин (Город: Екатеринбург)
2025-02-08 12:43:35 | User 1068652933 | Разблокировал переговорную: 1108 (Офис: Дубровин, Город: Екатеринбург, Этаж: )
2025-02-08 12:43:36 | User 1068652933 | Разблокировал переговорную: 1125 (Офис: Дубровин, Город: Екатеринбург, Этаж: )
2025-02-08 12:43:38 | User 1068652933 | Разблокировал переговорную: 1106 (Офис: Дубровин, Город: Екатеринбург, Этаж: )
2025-02-08 12:43:39 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:43:40 | User 1068652933 | Выбрал город: Екатеринбург
2025-02-08 12:43:42 | User 1068652933 | Выбрал офис: Кандинский (Город: Екатеринбург)
2025-02-08 12:43:44 | User 1068652933 | Выбрал этаж: 2 этаж (Офис: Кандинский, Город: Екатеринбург)
2025-02-08 12:43:46 | User 1068652933 | Вошел в бота (/start)
2025-02-08 12:43:53 | User 1068652933 | Выбрал город: Москва
2025-02-08 12:43:54 | User 1068652933 | Выбрал офис: Офис на Брестской (Город: Москва)
2025-02-08 12:43:58 | User 1068652933 | Разблокировал переговорную: Столичная (Офис: Офис на Брестской, Город: Москва, Этаж: )
2025-02-08 12:43:59 | User 1068652933 | Разблокировал переговорную: Бартоломео (Офис: Офис на Брестской, Город: Москва, Этаж: )
2025-02-08 13:14:58 | User 1068652933 | Разблокировал переговорную: Столичная (Офис: Офис на Брестской, Город: Москва, Этаж: )
2025-02-08 13:15:00 | User 1068652933 | Разблокировал переговорную: Бартоломео (Офис: Офис на Брестской, Город: Москва, Этаж: )
2025-02-08 13:15:02 | User 1068652933 | Вошел в бота (/start)
2025-02-08 13:15:04 | User 1068652933 | Вошел в бота (/start)
2025-02-08 13:15:05 | User 1068652933 | Выбрал город: Екатеринбург
2025-02-08 13:15:07 | User 1068652933 | Выбрал офис: Дубровин (Город: Екатеринбург)
2025-02-08 13:15:07 | User 1068652933 | Разблокировал переговорную: 1125 (Офис: Дубровин, Город: Екатеринбург, Этаж: )
2025-02-08 13:15:08 | User 1068652933 | Разблокировал переговорную: 1106 (Офис: Дубровин, Город: Екатеринбург, Этаж: )
2025-02-08 13:18:56 | User 1068652933 | Разблокировал переговорную: 1108 (Офис: Дубровин, Город: Екатеринбург, Этаж: )
2025-02-08 13:18:58 | User 1068652933 | Разблокировал переговорную: 1125 (Офис: Дубровин, Город: Екатеринбург, Этаж: )
2025-02-08 13:23:08 | User 1068652933 | Вошел в бота (/start)
2025-02-08 13:23:10 | User 1068652933 | Выбрал город: Екатеринбург
2025-02-08 13:23:12 | User 1068652933 | Выбрал офис: Кандинский (Город: Екатеринбург)
2025-02-08 13:23:13 | User 1068652933 | Выбрал этаж: 2 этаж (Офис: Кандинский, Город: Екатеринбург)
2025-02-08 13:23:15 | User 1068652933 | Разблокировал переговорную: Городская баня (Офис: Кандинский, Город: Екатеринбург, Этаж: 2 этаж)
2025-02-08 13:23:17 | User 1068652933 | Разблокировал переговорную: Контора пароходства (Офис: Кандинский, Город: Екатеринбург, Этаж: 2 этаж)
2025-02-08 13:27:04 | User 957402920 | Вошел в бота (/start)
2025-02-08 13:27:05 | User 957402920 | Выбрал город: Екатеринбург
2025-02-08 13:27:07 | User 957402920 | Выбрал офис: Дубровин (Город: Екатеринбург)
2025-02-08 13:27:08 | User 957402920 | Разблокировал переговорную: 1106 (Офис: Дубровин, Город: Екатеринбург, Этаж: )
